"[c1,r1]","[c1,r2]","[c1,r3]","[c2,r1]","[c2,r2]","[c2,r3]","[c3,r1]","[c3,r2]","[c3,r3]"
27.06878,24.01361,21.93086,25.47943,22.46345,20.43948,25.02819,22.02695,20.02506
26.96534,23.91293,21.83432,25.44747,22.43255,20.41018,25.02538,22.02425,20.02256
26.86707,23.81728,21.7426,25.41764,22.40372,20.38283,25.02284,22.02183,20.0203
26.77372,23.72642,21.65547,25.3898,22.3768,20.35731,25.02056,22.01964,20.01827
26.68503,23.6401,21.5727,25.36381,22.35168,20.33349,25.0185,22.01768,20.01644
26.60078,23.55809,21.49406,25.33956,22.32824,20.31126,25.01665,22.01591,20.0148
26.52074,23.48019,21.41936,25.31692,22.30635,20.29051,25.01498,22.01432,20.01332
26.4447,23.40618,21.34839,25.29579,22.28593,20.27114,25.01348,22.01289,20.01199
26.37247,23.33587,21.28097,25.27607,22.26687,20.25306,25.01214,22.0116,20.01079
26.30385,23.26908,21.21692,25.25767,22.24907,20.23619,25.01092,22.01044,20.00971
26.23865,23.20562,21.15608,25.24049,22.23247,20.22045,25.00983,22.0094,20.00874
26.17672,23.14534,21.09827,25.22446,22.21697,20.20575,25.00885,22.00846,20.00786
26.11788,23.08808,21.04336,25.20949,22.20251,20.19203,25.00796,22.00761,20.00708
26.06199,23.03367,20.99119,25.19553,22.18901,20.17923,25.00717,22.00685,20.00637
26.00889,22.98199,20.94163,25.18249,22.17641,20.16728,25.00645,22.00616,20.00573
25.95845,22.93289,20.89455,25.17033,22.16465,20.15613,25.00581,22.00555,20.00516
25.91052,22.88625,20.84982,25.15897,22.15367,20.14572,25.00523,22.00499,20.00464
25.865,22.84193,20.80733,25.14837,22.14342,20.13601,25.0047,22.00449,20.00418
25.82175,22.79984,20.76696,25.13848,22.13386,20.12694,25.00423,22.00404,20.00376
25.78066,22.75985,20.72861,25.12925,22.12494,20.11848,25.00381,22.00364,20.00339
25.74163,22.72185,20.69218,25.12063,22.11661,20.11058,25.00343,22.00327,20.00305
25.70455,22.68576,20.65758,25.11259,22.10884,20.10321,25.00308,22.00295,20.00274
25.66932,22.65147,20.6247,25.10509,22.10158,20.09633,25.00278,22.00265,20.00247
25.63585,22.6189,20.59346,25.09808,22.09481,20.0899,25.0025,22.00239,20.00222
25.60406,22.58795,20.56379,25.09154,22.08849,20.08391,25.00225,22.00215,20.002
25.57386,22.55856,20.5356,25.08544,22.08259,20.07832,25.00202,22.00193,20.0018
25.54517,22.53063,20.50882,25.07974,22.07708,20.0731,25.00182,22.00174,20.00162
25.51791,22.5041,20.48338,25.07443,22.07194,20.06822,25.00164,22.00157,20.00146
25.49201,22.47889,20.45921,25.06947,22.06715,20.06367,25.00148,22.00141,20.00131
25.46741,22.45495,20.43625,25.06484,22.06267,20.05943,25.00133,22.00127,20.00118
25.44404,22.4322,20.41444,25.06051,22.05849,20.05547,25.0012,22.00114,20.00106
